"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Oct 13 20:20:22 GMT 2022","Thu Oct 13 20:20:23 GMT 2022","347","","com.github.mohamead.spiderlog.SpiderlogIconsTest","","com.github.mohamead.spiderlog.SpiderlogIconsTest","toolWindowIconTest","toolWindowIconTest()",""
"passed","Thu Oct 13 20:20:22 GMT 2022","Thu Oct 13 20:20:22 GMT 2022","111","","com.github.mohamead.spiderlog.EnumTest","","com.github.mohamead.spiderlog.EnumTest","fontStyleTest","fontStyleTest()",""
"passed","Thu Oct 13 20:20:22 GMT 2022","Thu Oct 13 20:20:22 GMT 2022","42","","com.github.mohamead.spiderlog.EnumTest","","com.github.mohamead.spiderlog.EnumTest","directionTest","directionTest()",""
"passed","Thu Oct 13 20:20:22 GMT 2022","Thu Oct 13 20:20:22 GMT 2022","7","","com.github.mohamead.spiderlog.EnumTest","","com.github.mohamead.spiderlog.EnumTest","fontNameTest","fontNameTest()",""
