"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Apr 26 11:40:40 GMT 2024","Fri Apr 26 11:40:40 GMT 2024","48","","com.github.mohamead.spiderlog.EnumTest","","com.github.mohamead.spiderlog.EnumTest","fontStyleTest","fontStyleTest()",""
"passed","Fri Apr 26 11:40:39 GMT 2024","Fri Apr 26 11:40:39 GMT 2024","21","","com.github.mohamead.spiderlog.EnumTest","","com.github.mohamead.spiderlog.EnumTest","directionTest","directionTest()",""
"passed","Fri Apr 26 11:40:40 GMT 2024","Fri Apr 26 11:40:40 GMT 2024","4","","com.github.mohamead.spiderlog.EnumTest","","com.github.mohamead.spiderlog.EnumTest","fontNameTest","fontNameTest()",""
"passed","Fri Apr 26 11:40:40 GMT 2024","Fri Apr 26 11:40:40 GMT 2024","105","","com.github.mohamead.spiderlog.SpiderlogIconsTest","","com.github.mohamead.spiderlog.SpiderlogIconsTest","toolWindowIconTest","toolWindowIconTest()",""
