"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Oct 14 08:55:02 GMT 2022","Fri Oct 14 08:55:03 GMT 2022","372","","com.github.mohamead.spiderlog.SpiderlogIconsTest","","com.github.mohamead.spiderlog.SpiderlogIconsTest","toolWindowIconTest","toolWindowIconTest()",""
"passed","Fri Oct 14 08:55:02 GMT 2022","Fri Oct 14 08:55:02 GMT 2022","63","","com.github.mohamead.spiderlog.EnumTest","","com.github.mohamead.spiderlog.EnumTest","directionTest","directionTest()",""
"passed","Fri Oct 14 08:55:02 GMT 2022","Fri Oct 14 08:55:02 GMT 2022","4","","com.github.mohamead.spiderlog.EnumTest","","com.github.mohamead.spiderlog.EnumTest","fontNameTest","fontNameTest()",""
"passed","Fri Oct 14 08:55:02 GMT 2022","Fri Oct 14 08:55:02 GMT 2022","133","","com.github.mohamead.spiderlog.EnumTest","","com.github.mohamead.spiderlog.EnumTest","fontStyleTest","fontStyleTest()",""
