"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Oct 14 07:09:09 GMT 2022","Fri Oct 14 07:09:10 GMT 2022","488","","com.github.mohamead.spiderlog.SpiderlogIconsTest","","com.github.mohamead.spiderlog.SpiderlogIconsTest","toolWindowIconTest","toolWindowIconTest()",""
"passed","Fri Oct 14 07:09:09 GMT 2022","Fri Oct 14 07:09:09 GMT 2022","193","","com.github.mohamead.spiderlog.EnumTest","","com.github.mohamead.spiderlog.EnumTest","fontStyleTest","fontStyleTest()",""
"passed","Fri Oct 14 07:09:09 GMT 2022","Fri Oct 14 07:09:09 GMT 2022","137","","com.github.mohamead.spiderlog.EnumTest","","com.github.mohamead.spiderlog.EnumTest","directionTest","directionTest()",""
"passed","Fri Oct 14 07:09:09 GMT 2022","Fri Oct 14 07:09:09 GMT 2022","8","","com.github.mohamead.spiderlog.EnumTest","","com.github.mohamead.spiderlog.EnumTest","fontNameTest","fontNameTest()",""
