"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Oct 13 19:57:40 GMT 2022","Thu Oct 13 19:57:40 GMT 2022","7","","com.github.mohamead.spiderlog.EnumTest","","com.github.mohamead.spiderlog.EnumTest","fontNameTest","fontNameTest()",""
"passed","Thu Oct 13 19:57:40 GMT 2022","Thu Oct 13 19:57:40 GMT 2022","121","","com.github.mohamead.spiderlog.EnumTest","","com.github.mohamead.spiderlog.EnumTest","fontStyleTest","fontStyleTest()",""
"passed","Thu Oct 13 19:57:40 GMT 2022","Thu Oct 13 19:57:41 GMT 2022","296","","com.github.mohamead.spiderlog.SpiderlogIconsTest","","com.github.mohamead.spiderlog.SpiderlogIconsTest","toolWindowIconTest","toolWindowIconTest()",""
"passed","Thu Oct 13 19:57:40 GMT 2022","Thu Oct 13 19:57:40 GMT 2022","57","","com.github.mohamead.spiderlog.EnumTest","","com.github.mohamead.spiderlog.EnumTest","directionTest","directionTest()",""
