"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Oct 14 06:50:47 GMT 2022","Fri Oct 14 06:50:47 GMT 2022","412","","com.github.mohamead.spiderlog.SpiderlogIconsTest","","com.github.mohamead.spiderlog.SpiderlogIconsTest","toolWindowIconTest","toolWindowIconTest()",""
"passed","Fri Oct 14 06:50:47 GMT 2022","Fri Oct 14 06:50:47 GMT 2022","5","","com.github.mohamead.spiderlog.EnumTest","","com.github.mohamead.spiderlog.EnumTest","fontNameTest","fontNameTest()",""
"passed","Fri Oct 14 06:50:47 GMT 2022","Fri Oct 14 06:50:47 GMT 2022","135","","com.github.mohamead.spiderlog.EnumTest","","com.github.mohamead.spiderlog.EnumTest","fontStyleTest","fontStyleTest()",""
"passed","Fri Oct 14 06:50:47 GMT 2022","Fri Oct 14 06:50:47 GMT 2022","53","","com.github.mohamead.spiderlog.EnumTest","","com.github.mohamead.spiderlog.EnumTest","directionTest","directionTest()",""
