"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Apr 11 08:40:35 GMT 2024","Thu Apr 11 08:40:35 GMT 2024","48","","com.github.mohamead.spiderlog.EnumTest","","com.github.mohamead.spiderlog.EnumTest","fontStyleTest","fontStyleTest()",""
"passed","Thu Apr 11 08:40:34 GMT 2024","Thu Apr 11 08:40:34 GMT 2024","21","","com.github.mohamead.spiderlog.EnumTest","","com.github.mohamead.spiderlog.EnumTest","directionTest","directionTest()",""
"passed","Thu Apr 11 08:40:35 GMT 2024","Thu Apr 11 08:40:35 GMT 2024","108","","com.github.mohamead.spiderlog.SpiderlogIconsTest","","com.github.mohamead.spiderlog.SpiderlogIconsTest","toolWindowIconTest","toolWindowIconTest()",""
"passed","Thu Apr 11 08:40:35 GMT 2024","Thu Apr 11 08:40:35 GMT 2024","4","","com.github.mohamead.spiderlog.EnumTest","","com.github.mohamead.spiderlog.EnumTest","fontNameTest","fontNameTest()",""
