"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Feb 04 21:21:02 GMT 2024","Sun Feb 04 21:21:02 GMT 2024","106","","com.github.mohamead.spiderlog.SpiderlogIconsTest","","com.github.mohamead.spiderlog.SpiderlogIconsTest","toolWindowIconTest","toolWindowIconTest()",""
"passed","Sun Feb 04 21:21:02 GMT 2024","Sun Feb 04 21:21:02 GMT 2024","25","","com.github.mohamead.spiderlog.EnumTest","","com.github.mohamead.spiderlog.EnumTest","directionTest","directionTest()",""
"passed","Sun Feb 04 21:21:02 GMT 2024","Sun Feb 04 21:21:02 GMT 2024","3","","com.github.mohamead.spiderlog.EnumTest","","com.github.mohamead.spiderlog.EnumTest","fontNameTest","fontNameTest()",""
"passed","Sun Feb 04 21:21:02 GMT 2024","Sun Feb 04 21:21:02 GMT 2024","49","","com.github.mohamead.spiderlog.EnumTest","","com.github.mohamead.spiderlog.EnumTest","fontStyleTest","fontStyleTest()",""
